_time,_value
1703258127000,19.21190363185365
1703258128000,13.278604235713393
1703258129000,15.797742865132776
1703258130000,11.29031751446033
1703258131000,19.17174835828763
1703258132000,17.054563108314937
1703258133000,13.444665304456752
1703258134000,19.753887757242314
1703258135000,13.577949900180549
1703258136000,10.713052860326567
1703258137000,18.769850865291634
1703258138000,16.58055341159185
1703258139000,18.252810292755385
1703258140000,18.334606201118852
1703258141000,12.542955552800866
1703258142000,12.296939038559707
1703258143000,16.606622167620806
1703258144000,17.594968387660384
1703258145000,19.231761197459015
1703258146000,18.254023773904088
1703258147000,19.569179814816252
1703258148000,14.665601158895548
1703258149000,13.917680830401006
1703258150000,12.10732401681059
1703258151000,10.46332230918835
1703258152000,17.257597942152827
1703258153000,11.323385509000731
1703258154000,12.490011032947907
1703258155000,11.630994165746772
1703258156000,12.311236913146834
1703258157000,18.17805615097038
1703258158000,19.315147142100862
1703258159000,17.63694693921463
1703258160000,19.221268472280208
1703258161000,18.987457644298296
1703258162000,12.129084626699196
1703258163000,14.784228751028738
1703258164000,10.78000369812711
1703258165000,12.735709264455284
1703258166000,16.594187892685447
1703258167000,14.366417560032751
1703258168000,12.552557278457806
1703258169000,11.936943872122562
1703258170000,10.034036002339604
1703258171000,18.04321253826896
1703258172000,14.70170958188483
1703258173000,17.222471241630654
1703258174000,15.246878950853326
1703258175000,17.51364783865999
1703258176000,10.46387955451768
1703258177000,17.054278383793395
1703258178000,10.29609999818542
1703258179000,15.099519824599247
1703258180000,11.489075505913615
1703258181000,16.607715150998683
1703258182000,16.699785291644442
1703258183000,19.87561034385444
1703258184000,17.866555467606105
1703258185000,10.278471485986456
1703258186000,18.540115598178563
1703258187000,12.266551541886866
1703258188000,18.610223926954077
1703258189000,16.445311761219564
1703258190000,19.71115587050587
1703258191000,18.511432350888903
1703258192000,19.879035704926615
1703258193000,18.752395508784844
1703258194000,16.938724798726206
1703258195000,15.832177200416579
1703258196000,12.0663716818685
1703258197000,19.37984802440664
1703258198000,13.109331690703169
1703258199000,18.18917743878538
1703258200000,11.654053353467246
1703258201000,15.812464069537707
1703258202000,12.414070384659954
1703258203000,10.877875986920763
1703258204000,11.73495726480531
1703258205000,17.418256853163058
1703258206000,19.808063768503082
1703258207000,17.704567885541408
1703258208000,18.001269348454485
1703258209000,11.766994502895079
1703258210000,13.932779808751613
1703258211000,14.6180089019206
1703258212000,19.5598080301734
1703258213000,14.699525993312758
1703258214000,12.764602642078454
1703258215000,14.235510245767443
1703258216000,13.683571222018669
1703258217000,18.710556408170525
1703258218000,14.124694159060695
1703258219000,13.3993970018706
1703258220000,19.954189117731453
1703258221000,17.103988176901986
1703258222000,17.94634348513125
1703258223000,12.397097957857394
1703258224000,16.29435136570989
1703258225000,19.798908327864844
1703258226000,11.840245798792976
1703258227000,12.769897155926722
1703258228000,11.705194821530675
1703258229000,13.51558301080766
1703258230000,13.019673428584117
1703258231000,16.875186817768604
1703258232000,15.44340517729384
1703258233000,15.125400825550948
1703258234000,19.113753087315843
1703258235000,19.776093455063847
1703258236000,13.204433458944315
1703258237000,11.99019395480315
1703258238000,18.875000228337825
1703258239000,11.695889266084036
1703258240000,17.50893252094044
1703258241000,13.641025894284613
1703258242000,12.346984981433033
1703258243000,18.485676950511177
1703258244000,19.343472321422606
1703258245000,16.007394113326463
1703258246000,17.024509711859928
1703258247000,16.680183529485355
1703258248000,18.69656195445574
1703258249000,18.5944359802984
1703258250000,16.06598388702173
1703258251000,15.110364185968805
1703258252000,13.881892016059194
1703258253000,17.61161337567195
1703258254000,14.699762452211157
1703258255000,14.183516088692574
1703258256000,13.937229573538653
1703258257000,10.436821381809347
1703258258000,19.155247132861582
1703258259000,17.070154031384916
1703258260000,19.297689404079705
1703258261000,13.676825095858272
1703258262000,18.182258764551253
1703258263000,14.842937968531736
1703258264000,19.813907174137825
1703258265000,19.97230469677612
1703258266000,16.08634128302611
1703258267000,12.75533065002703
1703258268000,12.836416689228427
1703258269000,10.125508797056606
1703258270000,17.16639298058852
1703258271000,10.278505886956388
1703258272000,13.390214999111443
1703258273000,14.54104681368096
1703258274000,13.747929524427382
1703258275000,11.29474213498659
1703258276000,19.955886712813705
1703258277000,10.918837183153135
1703258278000,16.539164049280025
1703258279000,13.954610650051329
1703258280000,10.625535320459427
1703258281000,14.727560103039654
1703258282000,14.641024780113867
1703258283000,11.944044686240048
1703258284000,17.09794476870957
1703258285000,15.049687807695161
1703258286000,17.629178820018875
1703258287000,12.244639256259621
1703258288000,13.064879484956196
1703258289000,17.347656043685173
1703258290000,11.756735446730021
1703258291000,14.914885837269008
1703258292000,19.756376059422355
1703258293000,19.31766365474114
1703258294000,11.99268614412725
1703258295000,11.03095223014555
1703258296000,11.73076693975151
1703258297000,19.445353093692063
1703258298000,11.892770675082069
1703258299000,18.167344896674283
1703258300000,17.596069024920094
1703258301000,14.956569542017027
1703258302000,17.384668049734564
1703258303000,17.547131666408703
1703258304000,16.138132500754907
1703258305000,12.567939526958078
1703258306000,19.615088931258207
1703258307000,13.605720111054037
1703258308000,18.616462890016752
1703258309000,15.24348146364538
1703258310000,17.52437190757121
1703258311000,16.869112076608452
1703258312000,13.921199224697633
1703258313000,11.854781154983128
1703258314000,15.677565587210482
1703258315000,18.507451935271135
1703258316000,16.89276755171886
1703258317000,10.57221607604615
1703258318000,12.92761472130298
1703258319000,16.28130312710391
1703258320000,10.287879146047874
1703258321000,14.204651077127952
1703258322000,14.894153474851674
1703258323000,13.394154545101276
1703258324000,18.602880746518167
1703258325000,10.35826054892958
1703258326000,14.768073672260838
1703258327000,16.262494036144943
1703258328000,11.685766497910553
1703258329000,11.989000477522234
1703258330000,14.842670695724564
1703258331000,13.56613087493778
1703258332000,19.119776941401426
1703258333000,10.496595261634397
1703258334000,15.658613802917564
1703258335000,13.69355612801229
1703258336000,12.209156219872344
1703258337000,11.783134078016884
1703258338000,18.105895652201827
1703258339000,15.383035438744624
1703258340000,16.230345200173467
1703258341000,12.547656345063569
1703258342000,17.539865446800647
1703258343000,17.619253844875267
1703258344000,11.469964321797853
1703258345000,12.311381196674175
1703258346000,19.883543705896283
1703258347000,17.235267977632134
1703258348000,12.674132056590643
1703258349000,14.593428013352767
1703258350000,19.57027690286496
1703258351000,16.063792588461155
1703258352000,19.457906607284187
1703258353000,16.048890894541618
1703258354000,13.042837218457226
1703258355000,15.315049768736367
1703258356000,19.686498479609515
1703258357000,19.993434293875477
1703258358000,12.078336998045561
1703258359000,13.207963670664487
1703258360000,10.973788977034896
1703258361000,18.778865989468482
1703258362000,19.426072629551104
1703258363000,11.477493043633785
1703258364000,19.008562261109564
1703258365000,19.900505204434126
1703258366000,19.05143873263693
1703258367000,11.368216554958995
1703258368000,15.94730192291839
1703258369000,15.938569057335563
1703258370000,17.95344608143955
1703258371000,19.460419662393928
1703258372000,19.052102857793223
1703258373000,16.75285433658933
1703258374000,11.654959170172972
1703258375000,18.658843426137473
1703258376000,12.545727955270088
1703258377000,19.06416614943044
1703258378000,18.823846817894726
1703258379000,10.505513543225103
1703258380000,10.640643261304213
1703258381000,15.822166545546107
1703258382000,19.488760056936584
1703258383000,15.045219836850455
1703258384000,12.535201559260916
1703258385000,12.450313896937391
1703258386000,15.216486678197327
1703258387000,10.836978268116187
1703258388000,18.211961773602496
1703258389000,18.64135495678622
1703258390000,14.424930143605842
1703258391000,16.95539615517663
1703258392000,15.199637609243121
1703258393000,11.881524371918871
1703258394000,16.475422319732886
1703258395000,15.085912326881223
1703258396000,10.125095705561725
1703258397000,10.887618154509974
1703258398000,13.345142105480084
1703258399000,14.192610824391014
1703258400000,13.899092096070312
1703258401000,12.484066947305212
1703258402000,10.512636652636875
1703258403000,13.881062181555212
1703258404000,19.654822134697042
1703258405000,15.333898721661072
1703258406000,12.263475493483085
1703258407000,11.182707813621839
1703258408000,12.284557491685888
1703258409000,16.652138641554743
1703258410000,18.44920962830973
1703258411000,10.67368593811244
1703258412000,10.343239250977092
1703258413000,12.715113641657926
1703258414000,13.69755535479115
1703258415000,10.758477513014286
1703258416000,10.551643826115452
1703258417000,17.251827970518548
1703258418000,13.331910245786542
1703258419000,18.84942821584204
1703258420000,10.647370047552098
1703258421000,18.46326802334483
1703258422000,18.711491097448974
1703258423000,11.19058950556412
1703258424000,18.10693649506819
1703258425000,12.392221632656735
1703258426000,17.257015503452635
1703258427000,13.874746062067713
1703258428000,11.99288382410383
1703258429000,17.79445676524439
1703258430000,19.65249863431222
1703258431000,13.245721364199689
1703258432000,16.73204997263025
1703258433000,16.213188919102233
1703258434000,13.11954706587301
1703258435000,15.38042475415038
1703258436000,15.49913413610402
1703258437000,16.682420130509332
1703258438000,18.727666847347372
1703258439000,12.30105977844665
1703258440000,10.16892897823566
1703258441000,12.876434422664175
1703258442000,18.1849428568377
1703258443000,15.602962579048446
1703258444000,18.256720045148874
1703258445000,16.505526830802378
1703258446000,15.333384733213489
1703258447000,17.520620234574622
1703258448000,19.64805117626591
1703258449000,19.15138156802393
1703258450000,14.049012773035782
1703258451000,17.25223474413209
1703258452000,10.465113834917606
1703258453000,10.741327774780281
1703258454000,17.536055429607046
